AÑO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,"Archipiélago de San Andrés, Providencia y Santa Catalina",15852,6728,6723,57,6826,5908,3915,738,6234,7508,7879,6633,2401,6563,172,84,303,59,82,9673,0,9626,59,9557,155,0,9626,219,361,363,0,344,562,132
2011,Amazonas,22223,8234,8232,6368,8723,5065,2191,9453,9449,11782,8246,5801,1495,3636,546,556,367,821,79,9116,17,9283,821,8515,338,17,9283,316,695,515,17,514,639,415
2011,Guainía,11920,7487,7487,6185,7359,2888,842,9552,11275,13974,6884,3614,2037,421,1094,10,1073,1162,1285,7392,1313,7337,1162,8086,155,1313,7337,1569,63,77,1313,7,98,21
2011,Guaviare,31133,6404,6402,3216,6542,4516,2008,783,5206,9299,7815,5369,2679,1073,902,554,891,1002,89,9115,0,9173,1002,8893,18,0,9173,0,217,241,0,208,35,186
2011,Vaupés,12690,6218,6218,1922,6541,2904,973,7229,3203,10128,602,3992,1339,763,994,722,872,121,1424,8116,361,815,121,7872,889,361,815,81,704,615,361,776,434,206
2011,Vichada,20360,7307,7298,3184,7447,3289,1554,8208,5078,12078,5948,3903,157,1667,733,882,877,429,267,9177,0,9001,429,9657,9,0,9001,26,76,354,0,307,545,344
2012,Antioquia,1278686,9279,9265,732,9265,7484,435,1058,9438,11603,10914,8091,2796,6251,401,255,35,519,377,9204,2,9305,519,9221,395,2,9305,555,402,193,2,167,295,11
2012,Atlántico,523911,9159,9143,5303,8905,7673,4586,10039,8756,10984,10295,7763,2246,5104,332,201,359,343,277,9629,16,9607,343,969,42,16,9607,57,35,8,16,85,93,42
2012,"Bogotá, D.C.",1470171,8694,8652,6633,8397,8147,5178,9286,8217,9428,10109,7859,175,100,389,,342,488,445,9611,0,9658,488,9555,0,0,9658,0,0,517,0,361,831,408
2012,Bolívar,495108,8897,8887,6047,8767,6802,3808,10353,10656,11628,10031,7707,225,3344,339,337,325,357,35,9283,9,9356,357,9214,378,9,9356,532,436,24,9,249,288,101
2012,Boyacá,297132,857,8564,7048,8146,7461,4824,9996,9295,9526,11124,9174,2477,2995,323,274,238,426,347,9192,21,9411,426,9166,486,21,9411,748,487,2,21,144,311,15
2012,Caldas,198526,8455,845,6428,8103,72,4383,966,8488,10017,10316,8079,2373,3075,464,47,398,591,357,8895,47,9035,591,9021,64,47,9035,877,622,432,47,426,573,238
2012,Caquetá,124622,8328,8325,4934,8586,5623,2437,9826,8633,11804,9495,5865,2741,1198,723,691,692,838,522,916,13,9224,838,9291,116,13,9224,192,187,116,13,109,16,72
2012,Cauca,325212,8348,834,5359,8538,6053,2956,10215,9447,12129,9898,6713,1885,4375,402,289,304,542,553,9205,35,9262,542,9103,393,35,9262,434,344,115,35,106,161,8
2012,Cesar,263271,9415,9401,6594,9385,6936,3462,109,12649,12651,10122,711,2628,259,513,622,528,508,324,9008,212,908,508,9111,48,212,908,681,565,149,212,137,2,89
2012,Córdoba,405302,9378,9369,6506,9154,7182,3752,11073,11496,12151,11146,7937,2235,3049,295,314,248,351,331,9533,48,9617,351,9423,172,48,9617,243,246,256,48,259,301,152
2012,Cundinamarca,571082,9117,9097,6361,8782,8153,4727,10188,8731,10389,11254,8312,1678,3991,294,324,217,382,285,9584,6,9725,382,9517,122,6,9725,197,197,202,6,153,32,128
2012,Chocó,145607,8097,8095,6217,8324,419,191,9964,9546,13024,8185,5582,1492,1898,209,132,174,298,298,9188,145,9232,298,9276,603,145,9232,849,426,1,145,6,21,11
2012,Huila,273653,8977,8973,6715,9267,738,3798,10019,9094,11182,10366,6978,2644,4454,523,459,397,731,493,9001,2,9208,731,8923,476,2,9208,672,583,181,2,172,252,109
2012,La Guajira,239298,7542,7533,4622,7247,4186,2067,8993,1006,11857,6713,4718,2253,3566,681,481,62,883,842,9233,33,9292,883,91,86,33,9292,117,58,344,33,4,297,104
2012,Magdalena,334586,9182,9164,6558,8726,6496,3407,10868,13273,12698,9748,7094,224,303,622,2084,491,385,324,9197,81,9321,385,9513,181,81,9321,212,163,159,81,149,203,62
2012,Meta,210820,9335,9329,6714,9231,7591,4064,103,9887,11439,10458,7252,2614,1077,585,574,506,73,507,9168,25,9344,73,916,247,25,9344,421,332,18,25,15,28,109
2012,Nariño,401539,7775,7773,4918,7776,5364,2859,9296,7717,11483,8662,5896,214,2269,184,132,154,237,229,9702,5,9756,237,9649,114,5,9756,18,122,189,5,169,271,117
2012,Norte de Santander,322304,86,8593,7179,9029,643,3587,9669,10484,11276,915,6585,2652,1278,489,433,449,593,406,9358,31,9452,593,9373,152,31,9452,245,221,2,31,151,315,155
2012,Quindio,112175,8877,8874,5776,8348,7917,4659,10248,8514,10269,11575,8476,2772,2029,623,66,533,771,487,8979,19,9203,771,9092,399,19,9203,63,421,123,19,89,196,68
2012,Risaralda,189484,9291,9277,6603,9119,7509,4298,1091,10105,11524,11483,877,2173,4696,704,606,574,921,646,8791,88,9082,921,883,506,88,9082,817,525,113,88,94,166,65
2012,Santander,425904,9221,9211,7017,9289,7782,4684,10399,113,11122,10522,8141,2489,2218,467,546,379,589,384,9265,32,9458,589,9293,268,32,9458,444,323,253,32,175,418,158
2012,Sucre,203626,956,9555,6751,951,7372,3811,11262,13162,12816,1058,7965,2333,264,483,515,477,5,431,8568,8,8601,5,8679,949,8,8601,1281,89,65,8,65,75,54
2012,Tolima,321653,8747,8742,6162,8571,7182,3977,9711,9343,1084,973,7092,2481,4237,511,492,439,642,431,8738,35,8953,642,8929,751,35,8953,1154,64,66,35,69,8,37
2012,Valle del Cauca,894698,8826,8809,6032,8616,7121,4062,10186,10398,11169,10327,7619,2235,4032,432,479,374,521,369,9239,2,9391,521,9298,329,2,9391,528,333,164,2,139,24,101
2012,Arauca,74454,7233,7229,5148,7061,5447,2981,8367,874,9229,8066,6194,1646,1733,499,463,472,572,456,9499,0,9528,572,9521,3,0,9528,1,23,383,0,306,59,309
2012,Casanare,85999,10394,10388,7845,102,854,4403,11702,111,12485,1234,879,2417,187,652,557,544,839,608,8767,8,9035,839,8888,581,8,9035,964,503,192,8,15,31,129
